2014-05-19-06:45:24,34 0.0000
2014-05-19-06:45:29,35 0.0000
2014-05-19-06:45:34,35 0.0000
2014-05-19-06:45:39,36 0.0000
2014-05-19-06:45:44,36 0.0000
2014-05-19-06:45:49,36 0.0000
2014-05-19-06:45:54,37 0.0000
2014-05-19-06:45:59,37 0.0000
2014-05-19-06:46:04,37 0.0000
2014-05-19-06:46:09,38 0.0000
2014-05-19-06:46:14,38 0.0000
2014-05-19-06:46:19,39 0.0000
2014-05-19-06:46:24,39 0.0000
2014-05-19-06:46:29,39 0.0000
2014-05-19-06:46:34,40 0.0000
2014-05-19-06:46:39,40 0.0000
2014-05-19-06:46:44,41 0.0000
2014-05-19-06:46:49,41 0.0000
2014-05-19-06:46:54,41 0.0000
2014-05-19-06:46:59,42 0.0000
2014-05-19-06:47:04,42 0.0000
2014-05-19-06:47:09,43 0.0000
2014-05-19-06:47:14,43 0.0000
2014-05-19-06:47:19,43 0.0000
2014-05-19-06:47:24,44 0.0000
2014-05-19-06:47:29,44 0.0000
2014-05-19-06:47:34,45 0.0000
2014-05-19-06:47:39,45 0.0000
2014-05-19-06:47:44,45 0.0000
2014-05-19-06:47:49,46 0.0000
2014-05-19-06:47:54,46 0.0000
2014-05-19-06:47:59,46 0.0000
2014-05-19-06:48:04,47 0.0000
2014-05-19-06:48:09,47 0.0000
2014-05-19-06:48:14,48 0.0000
2014-05-19-06:48:19,48 0.0000
2014-05-19-06:48:24,48 0.0000
2014-05-19-06:48:29,49 0.0000
2014-05-19-06:48:34,49 0.0000
2014-05-19-06:48:39,50 0.0000
2014-05-19-06:48:44,50 0.0000
2014-05-19-06:48:49,50 0.0000
2014-05-19-06:48:54,51 0.0000
2014-05-19-06:48:59,51 0.0000
2014-05-19-06:49:04,52 0.0000
2014-05-19-06:49:09,52 0.0000
2014-05-19-06:49:14,52 0.0000
2014-05-19-06:49:19,53 0.0000
2014-05-19-06:49:24,53 0.0000
2014-05-19-06:49:29,54 0.0000
2014-05-19-06:49:34,54 0.0000
2014-05-19-06:49:39,54 0.0000
2014-05-19-06:49:44,55 0.0000
2014-05-19-06:49:49,55 0.0000
2014-05-19-06:49:54,55 0.0000
2014-05-19-06:49:59,56 0.0000
2014-05-19-06:50:04,56 0.0000
2014-05-19-06:50:09,57 0.0000
2014-05-19-06:50:14,57 0.0000
2014-05-19-06:50:19,57 0.0000
2014-05-19-06:50:24,58 0.0000
2014-05-19-06:50:29,58 0.0000
2014-05-19-06:50:34,59 0.0000
2014-05-19-06:50:39,59 0.0000
2014-05-19-06:50:44,59 0.0000
2014-05-19-06:50:49,60 0.0000
2014-05-19-06:50:54,60 0.0000
2014-05-19-06:50:59,61 0.0000
2014-05-19-06:51:04,61 0.0000
2014-05-19-06:51:09,61 0.0000
2014-05-19-06:51:14,62 0.0000
2014-05-19-06:51:19,62 0.0000
2014-05-19-06:51:24,63 0.0000
2014-05-19-06:51:29,63 0.0000
2014-05-19-06:51:34,63 0.0000
2014-05-19-06:51:39,64 0.0000
2014-05-19-06:51:44,64 0.0000
2014-05-19-06:51:49,64 0.0000
2014-05-19-06:51:54,65 0.0000
2014-05-19-06:51:59,65 0.0000
2014-05-19-06:52:04,66 0.0000
2014-05-19-06:52:09,66 0.0000
2014-05-19-06:52:14,66 0.0000
2014-05-19-06:52:19,67 0.0000
2014-05-19-06:52:24,67 0.0000
2014-05-19-06:52:29,68 0.0000
2014-05-19-06:52:34,68 0.0000
2014-05-19-06:52:39,68 0.0000
2014-05-19-06:52:44,69 0.0000
2014-05-19-06:52:49,69 0.0000
2014-05-19-06:52:54,70 0.0000
2014-05-19-06:52:59,70 0.0000
2014-05-19-06:53:04,70 0.0000
2014-05-19-06:53:09,71 0.0000
2014-05-19-06:53:14,71 0.0000
